Year	GMSL_lower	GMSL_mean	GMSL_upper
1900	-203.557266615603	-173.261442091774	-141.002807032821
1901	-201.018509148266	-168.801675260069	-135.897609137842
1902	-212.074044218482	-180.389966950043	-148.213823998375
1903	-202.697563869399	-170.267832246364	-138.93051820781
1904	-200.167015056873	-168.720070891968	-137.45012239734
1905	-192.131255104329	-160.981428722675	-130.351450782292
1906	-205.926483551919	-175.605266335879	-144.489375720921
1907	-200.836081206149	-169.269222500189	-139.961310728058
1908	-214.93706570236	-184.1125088215	-152.597871739607
1909	-208.986879760794	-178.725951371542	-146.498860114352
1910	-207.385068045998	-177.12147330986	-145.529538817211
1911	-191.810815846452	-161.718567617054	-131.373053812539
1912	-182.919773673549	-154.065540751537	-124.075425521291
1913	-176.306306619075	-146.447900040648	-117.01831572795
1914	-173.511031160094	-144.456942950489	-115.374869486517
1915	-169.158950934538	-140.947332505697	-111.326101202291
1916	-195.311960871941	-167.257957191162	-138.231398151251
1917	-185.026380568813	-157.399146907858	-128.191050035741
1918	-180.958512359687	-153.364538581145	-125.153595878341
1919	-175.284792932382	-146.923537327046	-119.032139485817
1920	-164.773870141381	-138.296323517219	-110.451878618829
1921	-165.474256189099	-138.624636636928	-111.979631375648
1922	-167.301940289172	-140.169819216061	-112.668114188467
1923	-182.63830380557	-154.973060611062	-126.286834164038
1924	-174.977025457341	-149.715508320625	-123.54101277538
1925	-180.609039359791	-154.365164995044	-127.741920688829
1926	-179.18750147137	-155.032203457062	-129.545864814368
1927	-172.167945120521	-148.160054025337	-123.525941215064
1928	-175.289387495947	-150.637486958889	-125.271635404892
1929	-175.712065346862	-151.329395558737	-127.633751996416
1930	-170.005986452283	-146.430963048914	-122.127606280577
1931	-170.237198587876	-146.11008564429	-121.605718270326
1932	-155.392679020544	-131.792953515291	-107.800056448326
1933	-162.146460701383	-137.930124577712	-113.893058856788
1934	-173.866526515692	-151.130100898396	-127.395513726995
1935	-162.852930232642	-138.775624941667	-116.214060135983
1936	-167.897222201619	-144.595059568191	-122.101551408208
1937	-158.268340568374	-135.365486827454	-113.531574913407
1938	-147.758680820872	-125.868059106005	-103.666561416256
1939	-142.782334807256	-121.688805799496	-99.9537598186253
1940	-153.91270415598	-132.358422279248	-111.536834819012
1941	-138.08978441625	-117.014493859124	-96.1256903710813
1942	-136.661239361023	-116.86162691446	-96.277878729467
1943	-130.793110463757	-110.338215874497	-90.3565768440624
1944	-138.686267836867	-118.872080593047	-99.5743999612922
1945	-138.560837582721	-119.171992669776	-99.304991815596
1946	-123.3203657705	-104.470507669165	-84.856041794045
1947	-131.309891968995	-112.54190691461	-94.088063070061
1948	-123.553146749798	-104.607473699381	-85.9206886428546
1949	-110.65409797039	-92.3207506943622	-74.1149384915386
1950	-114.806884993656	-96.1867296224884	-78.1736008201115
1951	-103.994008276643	-85.616138764807	-66.5413781542557
1952	-103.724169910245	-85.5780907296087	-67.3268440168537
1953	-97.8890262378268	-79.7711494657342	-61.6661303068223
1954	-107.038388149338	-89.9380897221628	-73.0011309313242
1955	-104.598871112015	-86.6263691043205	-69.7123516168419
1956	-116.383118498137	-100.040236124107	-83.8214313108981
1957	-101.246692726275	-83.943075014655	-66.8428924385379
1958	-100.49480872173	-85.7277853347008	-71.6417671465525
1959	-97.0033010542357	-82.7312661785781	-68.6357866498349
1960	-90.8014192639052	-76.8683229338112	-63.2249371416046
1961	-90.2899931071762	-77.2147369576539	-63.6712973708309
1962	-91.6541005630029	-79.1118795909966	-66.3044956853095
1963	-91.8723600719571	-78.6913414505047	-65.3983856102413
1964	-95.9284453311342	-82.7520186874503	-69.262677807066
1965	-89.7409856633363	-76.6554273207086	-63.6753575881838
1966	-95.5230603656195	-82.7498734488119	-69.9091237812634
1967	-95.2691341364577	-82.9669471205068	-70.3416361383362
1968	-97.0864440355286	-84.9956834961968	-72.759707621004
1969	-96.8277370676549	-84.6799666056652	-72.3575580220954
1970	-97.0336429715599	-84.9043726436803	-72.3443218565578
1971	-84.7474495426664	-72.7613965752163	-60.0593452231067
1972	-90.3555091127003	-78.4880142330549	-65.8192246398901
1973	-96.0254654517488	-83.2453676890826	-70.7546040069958
1974	-89.2770663536945	-76.7789044153547	-64.2358342443935
1975	-79.8173519996272	-68.1208105652144	-56.1592341941841
