time (days since 1950-01-01),irradiance (W/m^2),uncertainty (W/m^2)
10538.0,1360.71277,0.241566941
10539.0,1360.55408,0.273765087
10540.0,1360.68591,0.210078835
10541.0,1360.82202,0.168951809
10542.0,1361.12573,0.179459617
10543.0,1361.30273,0.183285818
10544.0,1361.41809,0.118028522
10545.0,1361.47754,0.120911986
10546.0,1361.4801,0.118702851
10547.0,1361.35559,0.106920935
10548.0,1361.30811,0.0992853865
10549.0,1361.40869,0.104631223
10550.0,1361.4248,0.0966275483
10551.0,1361.37109,0.119556241
10552.0,1361.45374,0.119751692
10553.0,1361.3291,0.102856457
10554.0,1361.56458,0.103442781
10555.0,1361.55115,0.0951823667
10556.0,1361.46106,0.103648297
10557.0,1361.45593,0.0922519118
10558.0,1361.32397,0.119130529
10559.0,1361.13147,0.107480593
10560.0,1361.44812,0.143192366
10561.0,1361.25549,0.135132775
10562.0,1361.22424,0.149324015
10563.0,1361.2572,0.137419432
10564.0,1361.14392,0.148264676
10565.0,1361.22485,0.113908269
10566.0,1361.41687,0.114621371
10567.0,1361.33838,0.0973931029
10568.0,1360.43225,0.141003489
10569.0,1360.13879,0.168874875
10570.0,1358.8811,0.224535882
10571.0,1358.13025,0.353881985
10572.0,1358.18665,0.354050636
10573.0,1358.92969,0.26864621
10574.0,1359.80615,0.275203913
10575.0,1360.10461,0.178664714
10576.0,1360.41187,0.179451764
10577.0,1360.95618,0.181544378
10578.0,1360.88794,0.143599048
10579.0,1360.98096,0.139292732
10580.0,1361.09485,0.139357075
10581.0,1360.99353,0.16560629
10582.0,1361.03711,0.124015257
10583.0,1361.3197,0.153451324
10584.0,1361.2804,0.126439869
10585.0,1361.42834,0.116015509
10586.0,1361.52673,0.0965398327
10587.0,1361.54163,0.107758857
10588.0,1361.5636,0.137248069
10589.0,1361.60754,0.112331241
10590.0,1361.15112,0.128751427
10591.0,1361.14685,0.153144196
10592.0,1360.84021,0.13651669
10593.0,1361.20166,0.185286641
10594.0,1360.72888,0.146591023
10595.0,1361.05884,0.135073334
10596.0,1361.48267,0.163249105
10597.0,1361.63745,0.127741084
10598.0,1361.66565,0.136104211
10599.0,1361.71667,0.156712979
10600.0,1361.16956,0.203405082
10601.0,1361.25073,0.21443142
10602.0,1361.16809,0.200102329
10603.0,1361.5094,0.160538495
10604.0,1361.45422,0.15383251
10605.0,1361.15234,0.16761227
10606.0,1361.17944,0.181707829
10607.0,1361.18677,0.161176339
10608.0,1361.22937,0.139197588
10609.0,1361.27148,0.141955033
10610.0,1360.97705,0.121207438
10611.0,1360.69458,0.15576449
10612.0,1360.56152,0.160744697
10613.0,1360.66479,0.196705148
10614.0,1360.63306,0.156579226
10615.0,1360.771,0.17348747
10616.0,1360.9552,0.172921807
10617.0,1361.2124,0.149393141
10618.0,1361.09277,0.151155367
10619.0,1361.47083,0.132312924
10620.0,1361.63403,0.118102998
10621.0,1361.85193,0.122478291
10622.0,1361.92834,0.139324769
10623.0,1361.83801,0.119536787
10624.0,1361.95947,0.176333904
10625.0,1361.5791,0.190460101
10626.0,1361.62537,0.217312798
10627.0,1361.61292,0.230317995
10628.0,1361.45361,0.190529749
10629.0,1361.63184,0.17566967
10630.0,1361.84387,0.185362443
10631.0,1361.89941,0.175712124
10632.0,1361.72229,0.222218439
10633.0,1361.65894,0.180389896
10634.0,1361.56543,0.140534908
10635.0,1361.61755,0.121913932
10636.0,1361.28369,0.123222582
10637.0,1361.45715,0.13088946
10638.0,1361.65002,0.173151001
10639.0,1360.8623,0.187498078
10640.0,1360.64099,0.27910921
10641.0,1360.37109,0.326352894
10642.0,1360.90759,0.266177356
10643.0,1361.20862,0.271513134
10644.0,1361.43018,0.196973607
10645.0,1361.776,0.146025702
10646.0,1361.80029,0.121012919
10647.0,1361.9292,0.120671086
10648.0,1361.82324,0.131526679
10649.0,1361.91296,0.118181504
10650.0,1362.05554,0.123359047
10651.0,1362.10278,0.124597438
10652.0,1362.21265,0.129414424
10653.0,1362.12109,0.124855049
10654.0,1362.07239,0.130488202
10655.0,1362.20532,0.164537609
10656.0,1362.16663,0.141343117
10657.0,1362.05786,0.124314107
10658.0,1361.97998,0.11994826
10659.0,1361.88184,0.152887553
10660.0,1361.8158,0.127306119
10661.0,1361.98181,0.133323297
10662.0,1362.03455,0.124576919
10663.0,1362.12439,0.124986224
10664.0,1362.04529,0.118003756
10665.0,1362.03931,0.120295994
10666.0,1361.82166,0.117914975
10667.0,1361.72742,0.134519324
10668.0,1361.80762,0.139492348
10669.0,1361.87964,0.126615196
10670.0,1361.78369,0.128277838
